State,Points,Rank
Colorado,149.04,1
California,140.07,2
Massachusetts,139.91,3
Minnesota,138.63,4
New Jersey,137.96,5
Maryland,137.54,6
Connecticut,137.5,7
Pennsylvania,136.29,8
Illinois,135.52,9
Utah,126.85,10
Rhode Island,126.37,11
Ohio,125.78,12
Florida,124.34,13
Nebraska,124.05,14
Michigan,123.17,15
Virginia,123.06,16
Washington,122.42,17
Vermont,120.62,18
Texas,120.42,19
Oregon,120.15,20
Wisconsin,118.53,21
New York,118.44,22
North Dakota,117.55,23
Iowa,114.5,24
Delaware,113.7,25
Missouri,112.36,26
North Carolina,112.18,27
New Hampshire,112.14,28
Hawaii,111.12,29
Georgia,110.93,30
Kansas,109.95,31
Idaho,108.41,32
Maine,107.53,33
Montana,106.91,34
Tennessee,105.84,35
Oklahoma,101.1,36
Arizona,99.19,37
Kentucky,97.95,38
South Dakota,97.15,39
Indiana,96.22,40
Nevada,96.17,41
Wyoming,94.77,42
Louisiana,93.15,43
New Mexico,90.59,44
South Carolina,90.45,45
West Virginia,89.19,46
Arkansas,87.57,47
Alaska,83.77,48
Alabama,83.48,49
Mississippi,71.49,50
